A4D250	A4D250
Q96JY6	O94929
Q96JY6	Q9NR12
Q96JY6	O60711
Q96JY6	O43294
Q86VP3	Q86VP3
Q86VP3	Q6VY07
P17050	P17050
P17050	P06280
O14683	O14683
Q9Y303	Q9Y303
Q9NZV6	Q9NZV6
Q9NZV6	Q9Y3D2
Q9NZV6	Q8IXL7
Q0VG06	Q0VG06
Q8NBI3	Q8NBI3
Q6ZMT9	Q6ZMT9
Q6NSW5	Q6NSW5
Q6NSW5	Q8TCE6
Q5T319	Q5T319
Q5T319	Q5T1J6
Q9P0I2	Q9P0I2
Q8IZ81	Q8IZ81
Q8IZ81	Q8N336
Q8IZ81	Q96FG2
Q8IZU0	Q8IZU0
Q8IZU0	Q8IZT9
Q8IZU0	Q8IZU1
Q8IZU0	Q8IZU3
Q5XKR9	Q5XKR9
Q5XKR9	Q969W3
P28799	P28799
Q6PEV8	Q6PEV8
Q92499	Q92499
Q92499	Q9H0S4
Q92499	Q9Y6V7
Q92499	Q8N8A6
Q92499	Q96GQ7
Q92499	Q00839
Q92499	Q9BUJ2
Q92499	Q1KMD3
Q92499	Q86XP3
Q92499	P17844
Q92499	Q92841
Q92499	Q8TDD1
Q92499	Q9BUQ8
Q92499	Q9Y2R4
Q92499	Q9NQI0
Q92499	Q9UJV9
Q92499	Q7L014
Q92499	Q86TM3
Q92499	Q9NXZ2
Q92499	Q9GZR7
Q92499	Q9NVP1
Q92499	Q9H8H2
Q92499	Q8NHQ9
Q92499	Q9NY93
Q92499	Q13206
Q92499	P38919
Q92499	P60842
Q92499	Q14240
Q92499	Q5T1V6
Q92499	Q9BQ39
Q92499	Q9NR30
Q92499	O15523
Q92499	O00571
Q92499	Q9NUL7
Q92499	O00148
Q92499	Q13838
Q92499	P26196
Q92499	Q9NUU7
Q92499	Q9UMR2
Q92499	Q9UHL0
Q92499	Q9UHI6
Q92499	Q9BQ75
Q8NEG7	Q8NEG7
Q8NEG7	Q8IWF6
Q96IK5	Q96IK5
Q96IK5	Q8NEA9
Q8WUU5	Q8WUU5
Q9NQT5	Q9NQT5
O15063	O15063
Q9UKT4	Q9UKT4
Q9UKT4	Q4G163
Q9NPB8	Q9NPB8
Q1W209	Q1W209
O76042	O76042
P09132	P09132
P04278	P04278
Q13569	Q13569
Q8N0U2	Q8N0U2
O75683	O75683
P13693	P13693
P13693	Q56UQ5
P13693	Q9HAU6
Q499Z3	Q499Z3
P47897	P47897
P47897	P07814
P47897	Q5JPH6
Q5TAH2	Q5TAH2
Q5TAH2	Q4G0N8
O00488	O00488
Q08117	Q08117
Q08117	Q04726
Q08117	A0A1W2PR48
Q08117	Q04725
Q08117	Q04724
Q08117	Q04727
O95772	O95772
O95772	Q14849
Q8NE00	Q8NE00
Q8NE00	Q9HBR0
Q9BW85	Q9BW85
Q9BW85	P13994
Q6ICL3	Q6ICL3
Q9UHV2	Q9UHV2
Q9UHV2	Q14140
Q9UHV2	Q9BXL8
Q9NYH9	Q9NYH9
Q9NZ43	Q9NZ43
Q96QU8	Q96QU8
Q9Y484	Q9Y484
Q9Y484	Q5MNZ9
Q9Y484	Q9Y4P8
Q9Y484	Q5MNZ6
Q9H4I2	Q9H4I2
Q9H4I2	Q9UKY1
Q9H4I2	Q8IX15
Q9H4I2	Q9Y6X8
Q9NQZ6	Q9NQZ6
O43156	O43156
Q9UPW8	Q9UPW8
Q9UPW8	O14795
Q9UPW8	Q8NB66
O95164	O95164
O75896	O75896
Q7Z570	Q7Z570
Q7Z570	Q9UKJ3
Q7Z570	A4D1E1
Q9UI25	Q9UI25
Q9Y5Z9	Q9Y5Z9
Q6IPR3	Q6IPR3
P52888	P52888
P52888	Q9BYT8
P52888	Q99797
Q9C0B7	Q9C0B7
Q6P2C0	Q6P2C0
Q9NYU2	Q9NYU2
Q9NYU2	Q9NYU1
Q6VEQ5	Q6VEQ5
Q6VEQ5	C4AMC7
Q6VEQ5	A8K0Z3
Q6VEQ5	A8MWX3
Q6VEQ5	Q9NQA3
Q9H171	Q9H171
Q6DKK2	Q6DKK2
Q6DKK2	Q6P597
Q6DKK2	Q9NSK0
Q6DKK2	Q07866
Q6DKK2	Q9H0B6
Q14139	Q14139
Q14139	O95155
Q9H9P5	Q9H9P5
Q9H9P5	Q9C0B0
Q86WB7	Q86WB7
Q86WB7	O43934
Q86WB7	Q9H1C4
Q7Z3J2	Q7Z3J2
Q96MU7	Q96MU7
Q5TAA0	Q5TAA0
P13521	P13521
Q9NUC0	Q9NUC0
Q96N06	Q96N06
Q3YBR2	Q3YBR2
P62857	P62857
Q96JG6	Q96JG6
Q69YN4	Q69YN4
O95785	O95785
O95785	Q9H582
O95785	Q5T0Z8
O15213	O15213
Q63HK5	Q63HK5
Q63HK5	Q6ZSZ6
Q63HK5	Q9NRE2
Q96NR7	Q96NR7
Q96PP4	Q96PP4
Q14135	Q14135
Q8NBN3	Q8NBN3
Q8NBN3	Q96K49
Q495N2	Q495N2
Q495N2	Q495M3
Q495N2	Q7Z2H8
Q495N2	Q6YBV0
Q9P1C3	Q9P1C3
Q9P1C3	Q96NF6
Q9Y5K8	Q9Y5K8
Q6P2S7	Q6P2S7
O75711	O75711
Q9NZV5	Q9NZV5
Q9NS93	Q9NS93
Q9UIA9	Q9UIA9
Q9UIA9	Q9H2T7
Q8TF74	Q8TF74
Q8TF74	Q5JRA6
Q8TF74	O43516
Q8TF74	A6NGB9
Q5GH70	Q5GH70
Q5GH70	Q9H6D3
Q5GH70	Q5GH76
Q5GH70	Q5GH73
Q5GH70	Q5GH72
Q5GH70	Q6UX68
Q5T124	Q5T124
Q96EF9	Q96EF9
Q96EF9	Q96K31
Q7Z5K2	Q7Z5K2
Q9NUQ7	Q9NUQ7
Q9NUQ7	Q6NVU6
Q9NUQ7	Q96AP4
Q3ZCQ8	Q3ZCQ8
Q658P3	Q658P3
Q658P3	Q8NFT2
Q658P3	Q6NZ63
Q658P3	Q9UHE8
Q658P3	Q687X5
Q9UJT2	Q9UJT2
P61960	P61960
Q8N6R1	Q8N6R1
Q8N6R1	Q9Y6X1
Q15750	Q15750
Q9UHQ7	Q9UHQ7
Q9UHQ7	Q9BRU2
Q9UHQ7	Q8IYN2
Q9UHQ7	Q15170
Q7Z6L1	Q7Z6L1
Q7Z6L1	O15040
Q7Z6L1	Q9UPZ3
Q9GZM5	Q9GZM5
Q9BZV1	Q9BZV1
Q9BZV1	Q9BZE9
A4UGR9	A4UGR9
A4UGR9	Q702N8
O60238	O60238
O60238	Q12983
Q9BV19	Q9BV19
Q9Y6G5	Q9Y6G5
Q86UT8	Q86UT8
P42695	P42695
Q9GZN8	Q9GZN8
Q2VPB7	Q2VPB7
Q9H9Q2	Q9H9Q2
Q9H9Q2	Q9UBW8
P21695	P21695
P21695	Q8N335
P41567	P41567
P41567	O60739
P07902	P07902
Q6ZS86	Q6ZS86
Q6ZS86	P32189
Q6ZS86	Q14409
Q6ZS86	Q14410
Q6ZS86	Q96C11
Q99848	Q99848
Q5RKV6	Q5RKV6
Q9NYL4	Q9NYL4
Q9NYL4	O95302
Q9NYL4	Q75LS8
Q9NYL4	Q96AY3
Q9NYL4	Q9NWM8
Q9NYL4	Q9Y680
Q9BWK5	Q9BWK5
Q5T1M5	Q5T1M5
Q5T3I0	Q5T3I0
Q86YN1	Q86YN1
Q5T6L9	Q5T6L9
Q14232	Q14232
Q14232	Q9UI10
Q14232	Q9BV20
Q14232	P49770
Q5THR3	Q5THR3
Q5SW24	Q5SW24
Q5SW24	Q9NYF0
Q8NDB6	Q8NDB6
P37268	P37268
Q86XK2	Q86XK2
Q86XK2	Q9UK96
Q86XK2	Q5FWF7
Q6UWT2	Q6UWT2
Q3ZCQ3	Q3ZCQ3
A6NC97	A6NC97
A6NC97	Q8WUF8
Q9H4I9	Q9H4I9
Q64ET8	Q64ET8
Q64ET8	Q96QU4
Q64ET8	A6NGY1
Q86YR5	Q86YR5
Q86YR5	P81274
Q86YR5	Q8IVA1
Q86YR5	Q96AY4
Q86YR5	Q9Y4H4
Q86YR5	A2A3L6
Q18PE1	Q18PE1
Q8IY85	Q8IY85
Q86Y56	Q86Y56
Q8N954	Q8N954
Q9UJ14	Q9UJ14
Q9UJ14	Q6P531
Q9UJ14	P36268
Q9UJ14	A6NGU5
Q9UJ14	P19440
Q9UJ14	B5MD39
Q9UJ14	Q9BX51
Q9UJ14	Q14390
Q9UJ14	P36269
Q14376	Q14376
Q14376	Q8NBZ7
Q14376	O95455
Q14376	Q15738
Q14376	Q9H2F3
Q14376	P26439
Q14376	P14060
Q14376	Q8WUS8
Q14376	A6NKP2
Q52LR7	Q52LR7
Q52LR7	Q9H2F5
Q9H0R8	Q9H0R8
Q9H0R8	Q9BY60
Q9H0R8	O95166
Q9H0R8	P60520
Q9H0R8	Q9GZQ8
Q9H0R8	Q9H492
Q9H0R8	Q9BXW4
Q9H0R8	A6NCE7
Q4G0N0	Q4G0N0
Q86X51	Q86X51
P51587	P51587
Q92674	Q92674
Q14746	Q14746
O00170	O00170
O00170	Q9NZN9
Q16520	Q16520
Q16520	Q9NR55
Q16520	Q8N1L9
Q9H5V8	Q9H5V8
Q96FF9	Q96FF9
Q9NRL2	Q9NRL2
Q9NRL2	Q9UIG0
Q9NRL2	Q9UIF9
Q9NRL2	Q9UIF8
Q96I36	Q96I36
Q6UXT8	Q6UXT8
Q6UXT8	Q6UX46
Q6ULP2	Q6ULP2
O14744	O14744
Q8N6G1	Q8N6G1
Q96A22	Q96A22
Q9BWW8	Q9BWW8
Q9BWW8	Q9BWW9
Q9BWW8	O95236
Q9BWW8	Q9BPW4
Q9BWW8	Q9BQE5
Q9BWW8	O14791
A6NMY6	A6NMY6
A6NMY6	P07355
A6NMY6	P04083
A6NMY6	P50995
A6NMY6	P09525
A6NMY6	P12429
A6NMY6	P08758
A6NMY6	Q9UJ72
A6NMY6	P08133
A6NMY6	P20073
A6NMY6	P27216
A6NMY6	P13928
A6NMY6	Q5VT79
A6NMY6	O76027
O60566	O60566
O60566	O43683
A6NJI1	A6NJI1
Q68D86	Q68D86
Q68D86	Q96A19
O15144	O15144
O94817	O94817
Q96IT6	Q96IT6
Q9NPR9	Q9NPR9
Q9NPR9	Q5VW38
P17174	P17174
P17174	P00505
P17174	Q8NHS2
Q08378	Q08378
Q08378	O00461
Q68DA7	Q68DA7
Q68DA7	Q9NZ56
Q68DA7	Q9C0D6
Q68DA7	Q27J81
Q68DA7	A4D2P6
Q68DA7	O95466
Q68DA7	Q96PY5
Q68DA7	Q8IVF7
Q68DA7	Q9NRR4
Q68DA7	O43670
Q68DA7	Q5TGY3
Q68DA7	O60879
Q68DA7	Q9NSV4
Q68DA7	O60610
Q68DA7	Q86T65
Q68DA7	Q9Y4D1
O75072	O75072
O75072	Q9H9S5
Q5TAQ9	Q5TAQ9
Q5TAQ9	A6NGE4
Q5TAQ9	P0C7V8
Q5TAQ9	Q58WW2
Q5TAQ9	Q8N122
Q5TAQ9	Q8TAF3
Q5TAQ9	Q2TAY7
Q5TAQ9	Q15269
Q5TAQ9	Q13610
Q5TAQ9	Q8IV35
P61962	P61962
P0DPQ4	P0DPQ4
P0DPQ4	B9A014
Q5D0E6	Q5D0E6
Q9BXV9	Q9BXV9
A6NFE3	A6NFE3
A6NLF2	A6NLF2
A6NLF2	Q3SY89
A6NLF2	A0A087WX78
A6NLF2	Q8NG57
A6NLF2	Q8IYF1
A6NLF2	O94850
A6NLF2	Q14241
Q8WWB7	Q8WWB7
Q9UPQ8	Q9UPQ8
A6PVY3	A6PVY3
A6PVY3	Q8N128
Q13630	Q13630
Q96SL4	Q96SL4
Q96SL4	P07203
Q96SL4	Q8TED1
Q96SL4	P36969
Q96SL4	P59796
Q96SL4	P22352
Q96SL4	O75715
Q96SL4	P18283
P0CH98	P0CH98
P0CH98	Q4KMX7
Q9BQA9	Q9BQA9
Q8IYX3	Q8IYX3
Q9NQ31	Q9NQ31
Q9UKJ5	Q9UKJ5
Q9UKJ5	Q5VXU3
Q96AQ1	Q96AQ1
Q96AQ1	Q96LY2
Q9NZJ6	Q9NZJ6
P35318	P35318
Q8N1I8	Q8N1I8
A6NHX0	A6NHX0
A6NHX0	Q8WTX7
A6NHX0	Q8NAP1
A0A1B0GTL2	A0A1B0GTL2
Q9BV73	Q9BV73
Q9BV73	P49454
Q9NXG0	Q9NXG0
P55957	P55957
P0C7Q2	P0C7Q2
Q2NKJ3	Q2NKJ3
P56378	P56378
Q9NQY0	Q9NQY0
Q9NQY0	Q9UBW5
Q9NQY0	O00499
Q9NQY0	P49418
Q6RW13	Q6RW13
Q8NHU2	Q8NHU2
P29972	P29972
P29972	Q13520
P29972	P41181
P29972	P30301
P29972	P55064
P29972	P55087
P29972	Q92482
P29972	O43315
P29972	O14520
P29972	A6NL99
